created_at,author_id,text,author,sentiment_score
2023-04-30 04:19:41+00:00,1.48E+18,"RT @bukumbooee: Good morning all! 
#VoteYES for respect
#VoteYES for equality
#VoteYES for empowerment
#VoteYES for self-determination
#Vot…","{'verified': False, 'public_metrics': {'followers_count': 6198, 'following_count': 6821, 'tweet_count': 108701, 'listed_count': 10}, 'created_at': '2022-01-15T21:07:32.000Z', 'id': '1482459276958642178', 'description': 'LABOR MEMBER-EX NAVY-EX TWU UNION DELEGATE: 🥃🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007fWhen injustice becomes law resistance becomes duty-Proud Grandfather my main duty:Proud West Aussie:', 'protected': False, 'name': 'Norman David', 'username': 'Smizzy777', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1482459963843035139/sDkCfmxk_normal.jpg'}",0.7424
2023-04-30 04:19:19+00:00,308921014,"RT @JusticeAunties: If you are a Racist, a Bigot, Uneducated, LNP or supporter, an Arsehole, and dont understand how the constitution works…","{'public_metrics': {'followers_count': 1185, 'following_count': 212, 'tweet_count': 190789, 'listed_count': 2}, 'description': 'Acupuncturist. Very little time for social media. Except for the crises in our biosphere, democracy & society.', 'id': '308921014', 'name': 'Peta Terry @spiritgateoz@mastodon.world', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1172049295538675712/npXG2Qqq_normal.jpg', 'username': 'spiritgateoz', 'pinned_tweet_id': '1589481485983440898', 'created_at': '2011-06-01T06:50:06.000Z', 'location': 'Australia', 'protected': False}",-0.4404
2023-04-30 04:18:10+00:00,1426865454,RT @EddieSynot: What an incredible insult to the Indigenous men &amp; women that served this country. Who had to fight again on return for reco…,"{'public_metrics': {'followers_count': 3767, 'following_count': 4998, 'tweet_count': 419925, 'listed_count': 96}, 'description': '#VoteYes Voice to Parliament\n\n#RepublicNow\n\nhttps://t.co/opY1JN7dOP\n\n@apheda \n\n@unionsau\n\n@EMILYsListAus\n\n#CaltechMom\n\nRetweets≠endorsement', 'entities': {'description': {'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/opY1JN7dOP', 'expanded_url': 'http://abcfriends.org.au', 'display_url': 'abcfriends.org.au'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'VoteYes'}, {'start': 30, 'end': 42, 'tag': 'RepublicNow'}, {'start': 106, 'end': 117, 'tag': 'CaltechMom'}], 'mentions': [{'start': 69, 'end': 76, 'username': 'apheda'}, {'start': 79, 'end': 88, 'username': 'unionsau'}, {'start': 90, 'end': 104, 'username': 'EMILYsListAus'}]}}, 'id': '1426865454', 'name': 'Margaret Hollingdale 🇺🇦', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1012571950634291200/UI8EHxIV_normal.jpg', 'username': 'MargaretHollin1', 'pinned_tweet_id': '1643574888861683712', 'created_at': '2013-05-14T02:55:57.000Z', 'location': 'on Wurundjeri land, Vic', 'protected': False}",-0.7096
2023-04-30 04:16:19+00:00,558280158,"RT @bukumbooee: Good morning all! 
#VoteYES for respect
#VoteYES for equality
#VoteYES for empowerment
#VoteYES for self-determination
#Vot…","{'public_metrics': {'followers_count': 1815, 'following_count': 4755, 'tweet_count': 9398, 'listed_count': 2}, 'description': 'Leading care integration in community health. Nurse, Midwife, Masters Public Health & epidemiology nerd. Trying to be a good & reliable ally. VOTE YES❤️🐾🌈🏥', 'id': '558280158', 'name': 'CuriousKit🔎', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1488964775178506241/5VArHcCT_normal.jpg', 'username': 'CateGrin', 'pinned_tweet_id': '1361665933102641157', 'created_at': '2012-04-20T00:57:54.000Z', 'location': 'Victoria, Australia', 'protected': False}",0.7424
2023-04-30 04:15:15+00:00,1.23E+18,#VoiceToParliament #VoteYesAustralia #VoteYes https://t.co/dN6PEYl9ml,"{'public_metrics': {'followers_count': 119, 'following_count': 218, 'tweet_count': 5794, 'listed_count': 1}, 'description': 'Proud Sewer Rat 🐀🐀🐀', 'id': '1226416070371635200', 'name': 'StreetLight 🐀 sewer rat & honorary loose unit', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1226416539412221954/7g4MJuh__normal.jpg', 'username': 'TheyGottoGoNow', 'created_at': '2020-02-09T08:02:50.000Z', 'protected': False}",0
2023-04-30 04:11:20+00:00,1.21E+18,"RT @JayJay91341991: Louise Clegg wife of Anus Taylor, with all her white privilege, proudly announces she will Vote No on The Voice. Just a…","{'public_metrics': {'followers_count': 866, 'following_count': 152, 'tweet_count': 188530, 'listed_count': 0}, 'description': ""Retired Nurse, Gay Bear, Wistful for 70's 80's 90's music.\n He/Him. Lefty Sewer Rat."", 'id': '1213394005787983872', 'name': 'Phil: Sewer Rat/Lefty Thug - YES to Voice! Ploise!', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1213394914353893376/4OOQ4_kr_normal.jpg', 'username': 'MrPhillipJHall1', 'created_at': '2020-01-04T09:37:40.000Z', 'location': ""Tamworth NSW (Barnaby's Fief)"", 'protected': False}",0.5994
2023-04-30 04:11:13+00:00,11865952,"RT @bukumbooee: Good morning all! 
#VoteYES for respect
#VoteYES for equality
#VoteYES for empowerment
#VoteYES for self-determination
#Vot…","{'public_metrics': {'followers_count': 214, 'following_count': 319, 'tweet_count': 2134, 'listed_count': 1}, 'description': 'ER Doc. I live on Wurundjeri land. My heart beats true... ❤️💙', 'id': '11865952', 'name': '💧David Lightfoot #VoteYes', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/840442393899950080/2yp1KoyB_normal.jpg', 'username': 'davidvl', 'created_at': '2008-01-05T04:43:56.000Z', 'location': '-37.822453,145.024784', 'protected': False}",0.7424
2023-04-30 04:07:32+00:00,497349753,"RT @bukumbooee: Good morning all! 
#VoteYES for respect
#VoteYES for equality
#VoteYES for empowerment
#VoteYES for self-determination
#Vot…","{'public_metrics': {'followers_count': 1349, 'following_count': 840, 'tweet_count': 65453, 'listed_count': 20}, 'description': 'Strategic Media+Public Affairs Fmr @10NewsFirst @abcnews @AAPNewsWire journo Roosters🐔Juve tragic Everyone has a story to tell. Life’s too short for bad coffee', 'entities': {'description': {'mentions': [{'start': 35, 'end': 47, 'username': '10NewsFirst'}, {'start': 48, 'end': 56, 'username': 'abcnews'}, {'start': 57, 'end': 69, 'username': 'AAPNewsWire'}]}}, 'id': '497349753', 'name': 'Frank Coletta', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1514719298862088194/5Bt2cgFV_normal.jpg', 'username': 'ColettaFrank', 'created_at': '2012-02-19T22:08:37.000Z', 'location': 'Melbourne, Wurundjeri Country', 'protected': False}",0.7424
2023-04-30 04:06:43+00:00,485497413,RT @cath_oco: #Yes23 #VoteYesAustralia #VoiceToParliament,"{'public_metrics': {'followers_count': 12663, 'following_count': 5134, 'tweet_count': 1083599, 'listed_count': 729}, 'description': 'More Feminism less bullshit #Truthseeker #snarky #mentalhealthnurse #Socialist #UnionThug #BLM #hatefootballthugs', 'entities': {'description': {'hashtags': [{'start': 28, 'end': 40, 'tag': 'Truthseeker'}, {'start': 41, 'end': 48, 'tag': 'snarky'}, {'start': 49, 'end': 67, 'tag': 'mentalhealthnurse'}, {'start': 68, 'end': 78, 'tag': 'Socialist'}, {'start': 79, 'end': 89, 'tag': 'UnionThug'}, {'start': 90, 'end': 94, 'tag': 'BLM'}, {'start': 95, 'end': 113, 'tag': 'hatefootballthugs'}]}}, 'id': '485497413', 'name': 'Leftie Troublemaker #VoteYes 🐀🐁🌹🌈💧♐️🇺🇦', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1523551477175754752/8SQ4zmEk_normal.jpg', 'username': 'MinhKular', 'created_at': '2012-02-07T08:14:00.000Z', 'location': 'Bulnganwarra Country ', 'protected': False}",0
2023-04-30 04:06:15+00:00,1.47E+18,"RT @JayJay91341991: The racists and RWNJ’s are having a meltdown.😱
Bigotry and hate never wins! 👏😊
#insiders #VoteYesAustralia #auspol #Voi…","{'public_metrics': {'followers_count': 1011, 'following_count': 1578, 'tweet_count': 102688, 'listed_count': 6}, 'description': 'Unique Twice survived Stroke.I do not pretend to be an expert. Educated enough to know  I am always learning proudly Woke. Respect real qualifications.', 'id': '1471706319828643844', 'name': 'Jessica Mason', 'verified': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1497490776397287427/B6ciF2IP_normal.jpg', 'username': 'JessicaPerthWA', 'created_at': '2021-12-17T04:59:04.000Z', 'location': 'Perth, Perth (WA)', 'protected': False}",-0.8883
